Key,Source,Context,Changes,English,Russian

xuiAccessories,UI,XUI,,Accessories,Принадлежности

forgeImp,blocks,Workstation,,Forge [DECEA3]Improved[-],Кузница [DECEA3]Улучшенная[-]
forgeImpDesc,blocks,Workstation,,"This large, improved forge is a great time saver. Improved tools allow you to smelt large amounts of resources much faster.","Это большая, улучшенная кузница значительно экономит ваше время. Улучшенные инструменты позволяют значительно быстрее переплавить большое количество ресурсов."
workbenchImp,blocks,Workstation,,Workbench [DECEA3]Improved[-],Верстак [DECEA3]Улучшенный[-]
workbenchImpDesc,blocks,Workstation,,"You can create almost anything on a regular workbench, but it takes time. The upgraded version of the workbench allows you to add modifications that speed up the creation of items and allow you to create complex and unique items.","На обычном верстаке вы можете создать почти все, но это требует времени. Улучшенная версия верстака позволяет добавлять модификации, которые ускоряют создание предметов и позволяют создавать сложные и уникальные предметы."
kitchenStove,blocks,Workstation,,Kitchen Stove,Кухонная плита
kitchenStoveDesc,blocks,Workstation,,"Forget about cooking over a campfire. Now you can cook real home-cooked food.\nAllows you to use kitchen accessories, that increase cooking speed and reduce the amount of resources required.","Забудьте про готовку на костре. Теперь вы можете приготовить настоящую домашнюю пищу.\nПозволяет использовать кухонные аксессуары, которые увеличивают скорость приготовления и уменьшает количество требуемых ресурсов."
DewCollectorImp,blocks,Workstation,,Dew Collector [DECEA3]Improved[-],Коллектор росы [DECEA3]Улучшенный[-]
DewCollectorImpDesc,blocks,Workstation,,"There will be no more problems with water. The improved dew collector allows you to collect water 30% faster.\nWhen installing a water filter, water is collected in bottles. This significantly increases the amount of water obtained.","С водой больше не будет проблем. Улучшенный коллектор росы позволяет собирать воду на 30% быстрее.\nПри установке фильтра для воды, вода собирается бутылями. Это значительно увеличивает количество получаемой воды."
cementMixerImp,blocks,Workstation,,Cement Mixer [DECEA3]Improved[-],Бетономешалка [DECEA3]Улучшенная[-]
cementMixerImpDesc,blocks,Workstation,,"Now you can build a whole city.\nThe speed of resource processing has been increased, and the cost of recipes has been reduced.","Теперь вы можете построить целый город.\nУвеличена скорость переработки ресурсов, а также уменьшена стоимость рецептов."

toolBellowsImp,items,item,,Bellows [DECEA3]Improved[-],Кузнечные меха [DECEA3]Улучшенные[-]
toolBellowsImpDesc,items,item,,"Blacksmith's bellows for the improved forge. Increases smelting speed by 2x.","Кузнечные меха для улучшенной кузницы. Увеличиват скорость плавки в 2 раза."
toolAnvilImp,items,item,,Anvil [DECEA3]Improved[-],Наковальня [DECEA3]Улучшенная[-]
toolAnvilImpDesc,items,item,,"Anvil for the improved forge. Increases the crafting speed by 2 times.","Наковальня для улучшенной кузницы. Увеличиват скорость создания в 2 раза."
toolSmallParts,items,item,,Small Parts [DECEA3]Workbench[-],Мелкие запчасти [DECEA3]Верстак[-]
toolSmallPartsDesc,items,item,,"It's good to have bolts and screws on hand. This allows you to save a lot of time. Increases item creation speed by 30%.","Хорошо когда под рукой есть болтики и винтики. Это позволяет сократить кучу времени. Увеличивает скорость создания предметов на 30%."
toolImprovedTools,items,item,,Improved Tools [DECEA3]Workbench[-],Улучшенный инструмент [DECEA3]Верстак[-]
toolImprovedToolsDesc,items,item,,"A good tool is the main thing you need to create complex recipes. Now you can create rare and unique items.","Хороший инструмент - главное что нужно для создания сложных рецептов. Теперь вы можете создавать редкие и уникальные предметы."
toolKitchenKnives,items,item,,Kitchen Knives Ururu [DECEA3]Stove[-],Кухонные ножи Уруру [DECEA3]Плита[-]
toolKitchenKnivesDesc,items,item,,"Good sharp knives are always useful in the kitchen. Especially if they are sharpened by [FFB800]Ururu[-]. You won't cut off your fingers and otherwise it will reduce the cooking time.","Хорошие острые ножи всегда пригоднятся на кухне. Особенно если их заточила [FFB800]Уруру[-]. Не отрежте себе пальцы а в остальном это позволяет уменьшить время приготоволения."
resourceConcreteBundle,items,item,,Stack of Concrete Mix [DECEA3]1000[-],Упаковака бетона [DECEA3]1000[-]
resourceConcreteBundleDesc,items,item,,"Compact pack of concrete. Requires less resources when crafting./nOpen this pack to get 1000 concrete","Компактная упаковка бетона. При создании требует меньше ресурсов./nОткройте этот набор чтобы получить 1000 бетона"


gunMGT4M60Imp,items,Gun,,M60 Machine Gun [DECEA3]Improved[-],Пулемет М60 [DECEA3]Улучшенный[-]
gunMGT4M60ImpDesc,items,Gun,,"Improved model of the M60 machine gun.\nAll main characteristics have been increased. The rate of fire has been significantly increased. Improved ease of aiming.\nThis is the best weapon you could ever dream of.","Улучшенная модель пулемета M60.\nУвеличены все основные характеристики. Значительно увеличена скорострельноть. Повышено удобство прицеливания.\nЭто лучшее оружие о котором вы могли мечтать."
gunMGT5M60Bulldog,items,Gun,,Machine Gun [FFB800]Bulldog[-],Пулемет [FFB800]Бульдог[-]
gunMGT5M60BulldogDesc,items,Gun,,"Experimental Bulldog model.\nAllows firing with .44 caliber ammunition. The main characteristics have been significantly improved. When you hit an enemy, it causes them to bleed and slows them down for 6 seconds.\nThe best way to negotiate with any horde, on your terms.","Экспериментальная модель Бульдог.\nПозволят вести огонь боеприпасами .44 калибра. Значительно улучшены основные характеристики. При попадании по противнику вызывает у него кровотечение и замедляет на 6 сек.\nЛучший способ вести переговоры с любой ордой, на ваших условиях."

gunShotgunT4AutoShotgunImp,items,Gun,,Auto shotgun [DECEA3]Improved[-],Автоматический дробовик [DECEA3]Улучшенный[-]
gunShotgunT4AutoShotgunImpDesc,items,Gun,,"Improved model of an automatic shotgun.\nDamage, rate of fire and magazine capacity have been increased. Thanks to improved balancing, you will be able to deal damage at a greater distance.","Улучшенная модель автоматического дробовика.\nУвеличен урон, скорострельность и вместимость магазина. Благодаря улучшению балансировки вы сможете наносить урон на большей дистанции."
gunShotgunT5AutoShotgunEraser,items,Gun,,Auto shotgun [FFB800]Eraser[-],Автоматический дробовик [FFB800]Стиратель[-]
gunShotgunT5AutoShotgunEraserDesc,items,Gun,,"Experimental model Eraser is the optimal weapon for firing at large concentrations of enemies at short and medium distances. A significant increase in the main indicators allows you not to kill, but to Delete.","Экспериментальная модель Стиратель оптимальное оружие для ведения огня по большому скоплению противников на малой и средней дистанциях. Значительное увеличение основных показателей позволяет не убивать, а Удалять."

gunRifleT4SniperRifleImp,items,Gun,,Sniper rifle [DECEA3]Improved[-],Снайперская винтовка [DECEA3]Улучшенная[-]
gunRifleT4SniperRifleImpDesc,items,Gun,,"An improved model of a sniper rifle.\nAn increased magazine and rate of fire allows you to deal significantly more damage to targets. Thanks to improved balancing, you can riddle your target at any distance.","Улучшенная модель снайперской винтовки.\nУвеличенный магазин и скорострельность позволяет наносить по целям значительно больше урона. Благодаря улучшению балансировки вы можете изрешетить свою цель на любой дистанции."
gunRifleT5SniperRifleGaus,items,Gun,,Sniper rifle [FFB800]Gaus[-],Снайперская винтовка [FFB800]Гаус[-]
gunRifleT5SniperRifleGausDesc,items,Gun,,"The experimental Gaus model is the most powerful weapon in terms of causing damage in 1 shot. The enemy literally will not be able to prevent this from happening.\nEliminating targets with a large supply of HP will not be a problem.","Экспериментальная модель Гаус самое мощное оружие по нанесению урона за 1 выстрел. Противник в буквальном смысле не сможет устроять от такого.\nЛиквидация целей с большим запасом ОЗ не будет проблемой."

gunHandgunT4SMG5Imp,items,Gun,,SMG-5 [DECEA3]Improved[-],ПП-5 [DECEA3]Улучшенный[-]
gunHandgunT4SMG5ImpDesc,items,Gun,,"An improved model of a semi-automatic pistol SMG-5.\nAn increased magazine and rate of fire allows you to deal significantly more damage to targets. Thanks to improved balancing, weapon spread has been reduced.","Улучшенная модель полуавтоматического пистолета SMG-5.\nУвеличенный магазин и скорострельность позволяет наносить по целям значительно больше урона. Благодаря улучшению балансировки уменьшен разброс оружия."
gunHandgunT5SMG5Zinger,items,Gun,,SMG-5 [FFB800]Zinger[-],ПП-5 [FFB800]Зингер[-]
gunHandgunT5SMG5ZingerDesc,items,Gun,,"The experimental Zinger model.\nBecause of its rate of fire, many stalkers named the model after a fast and reliable sewing machine. And for good reason.\nVery quick and easy - an ideal gift for zombies if you decide to visit them.","Экспериментальная модель Зингер.\nИз-за своей скорострельности многие сталкеры назвали модель в честь быстрой и надежной швейной машинки. И не зря.\nОчень быстрый и легкий - идельный подарок для зомби, если вы решите зайти к ним в гости."

gunBowT4CompoundBowImp,items,Gun,,Composite bow [DECEA3]Improved[-],Композитный лук [DECEA3]Улучшенный[-]
gunBowT4CompoundBowImpDesc,items,Gun,,"Improved model of the composite bow.\nIncreased damage and rate of fire. Damage from stealth has been increased by 50%.\nThe ideal weapon for silent clearing.","Улучшенная модель композитного лука.\nУвеличен урон и скорострельность. Урон из стелся увеличен на 50%.\nИдельное оружие для безшумной зачистки."
gunBowT4CompoundCrossbowImp,items,Gun,,Composite crossbow [DECEA3]Improved[-],Композитный арбалет [DECEA3]Улучшенный[-]
gunBowT4CompoundCrossbowImpDesc,items,Gun,,"Improved model of a composite crossbow.\nRate of fire and penetration of target armor have been significantly increased. Damage from stealth has been increased by 50%.\nThe ideal weapon for silent clearing.","Улучшенная модель композитного арбалета.\nЗначительно увеличена скорострельность и пробитие брони цели. Урон из стелся увеличен на 50%.\nИдельное оружие для безшумной зачистки."
gunBowT5CompoundCrossbowMantis,items,Gun,,Crossbow [FFB800]Mantis[-],Арбалет [FFB800]Мантис[-]
gunBowT5CompoundCrossbowMantisDesc,items,Gun,,"Experimental model of the Mantis crossbow.\nAll main indicators have been significantly increased. Damage from stealth has been increased by 50%.\nEliminating quickly and silently a large number of sleeping enemies will no longer be a problem for you.","Экспериментальная модель арбалета Мантис.\nЗначительно увеличены все основные показатели. Урон из стелся увеличен на 50%.\nЛиквидировать быстро и безшумно большое количество спящих противников теперь не будет для вас проблемой."





gunBowT5CompoundCrossbowMantis,items,Gun,,Crossbow [FFB800]Mantis[-],Арбалет [FFB800]Мантис[-]
